label,sublabel,description,styles,bgcolor
燃やせるごみ,,,,#3333ff
燃えないごみ,,,,#773C30
カン,,,,#339900
ビン・ペットボトル,,,,#ff6600
プラスチック,,,,#cccccc
燃える粗大,,,,#993399
燃えない粗大,,,,#ffff99
紙・ダンボール,,,,#ff3399
